username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,predicted_class,prob_0,prob_1,prob_2,confidence_level,uncertainty_score
_rezinski,رضینسکی,واسه چشم آفته و واسه گل زینته خار,231.0,106.0,5925.0,False,November 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,واسه چشم آفته و واسه گل زینته خار,رضینسکی,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_sarahdavies,Sarah Davies,"Just a council estate kid. Mostly tired, fat & sweary",6039.0,2489.0,,False,February 2009,"Essex, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Just a council estate kid. Mostly tired, fat & sweary",Sarah Davies,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_scandalou_,SCANDALOU,,43.0,299.0,541.0,False,August 2022,France,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,SCANDALOU,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_sethnall,Seth Nall,"Christian, Husband, Father",31.0,1166.0,378.0,False,July 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Christian, Husband, Father",Seth Nall,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_shahaf_,Shahaf,"✡︎ • mentally in the 22nd century • data scientist in finance •  @bualumni  • talking about tech, consumer apps, quantum computing, culture, and shit like that",257.0,1970.0,786.0,False,December 2024,nyc,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"✡︎ • mentally in the 22nd century • data scientist in finance •  @bualumni  • talking about tech, consumer apps, quantum computing, culture, and shit like that",Shahaf,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
0mfahzf4tebztdl,کلول,زندگی نکردم ولی فعلا زنده ام,81.0,53.0,150.0,False,April 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,زندگی نکردم ولی فعلا زنده ام,کلول,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
0qcgdh3bdamfozf,هيثم عبده نعمان الحجري,,80.0,218.0,3761.0,False,September 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,هيثم عبده نعمان الحجري,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_sihelvi,İbn Kusay el Kerhani,sex felsefesi etik iyi sikiş felsefesi oncul anal kusay aşığı,16.0,73.0,119.0,False,August 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,sex felsefesi etik iyi sikiş felsefesi oncul anal kusay aşığı,İbn Kusay el Kerhani,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_soommiii_,soosoo~,,27.0,85.0,79.0,False,November 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,soosoo~,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_thebemagugu_,Thebe Magugu,"Afro-encycopaedic Fashion 52 Bompas Road, Dunkeld, Johannesburg  Tuesday - Friday: 09:00 to 17:00 Saturdays: 09:00 to 15:00",,314.0,821.0,False,May 2009,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Afro-encycopaedic Fashion 52 Bompas Road, Dunkeld, Johannesburg  Tuesday - Friday: 09:00 to 17:00 Saturdays: 09:00 to 15:00",Thebe Magugu,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_thejimbo_,Jimbo! 🌈🕕🌞,«ستادِ کیوت‌سازیِ توئیتر»      ممکنه دیر جواب بدم، معذرت می‌خوام ⁦,757.0,237.0,,False,October 2012,سرزمین غیرمادری,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,«ستادِ کیوت‌سازیِ توئیتر»      ممکنه دیر جواب بدم، معذرت می‌خوام ⁦,Jimbo! 🌈🕕🌞,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_theleftover,LEFTOVER,بازمانده ۱۴ اکتبر | همه‌کاره/هیچ‌کاره,462.0,563.0,8309.0,False,June 2018,خارج,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,بازمانده ۱۴ اکتبر | همه‌کاره/هیچ‌کاره,LEFTOVER,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
_x_wolverine,Logan,"I may be wicked, but still I gave an onion. (Real name is Rhys)",810.0,2000.0,4889.0,False,November 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"I may be wicked, but still I gave an onion. (Real name is Rhys)",Logan,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
35pmrc4xezu0tvd,Максат,,0.0,4.0,6.0,False,July 2019,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Максат,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
3ccmke,Third Coast Cinema,,1.0,154.0,0.0,False,September 2025,"Milwaukee, WI",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Third Coast Cinema,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
3eyedamir,SeyedAmir Sayyah,دغدغه محیط‌کسب‌وکار، کارآفرینی، شفافیت، عدالت رقابت، حقوق‌مالکیت، حاکمیت‌قانون و تنظیمگری فجازی در ایران. توئیتهام به هیچ شورا و مرکزی ربطی نَ  دا  رَد,,438.0,5587.0,False,January 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,دغدغه محیط‌کسب‌وکار، کارآفرینی، شفافیت، عدالت رقابت، حقوق‌مالکیت، حاکمیت‌قانون و تنظیمگری فجازی در ایران. توئیتهام به هیچ شورا و مرکزی ربطی نَ  دا  رَد,SeyedAmir Sayyah,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
3pm_est,R,,1.0,85.0,0.0,False,December 2025,"New York, USA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,R,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
3tareee,سه تا رِ,من بد دهن‌تر از چیزی‌ام که از توئیتام به نظر میرسه ولی حالا باز خود دانی!,1206.0,212.0,,False,May 2016,شهری عاری از مونوگامی,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,من بد دهن‌تر از چیزی‌ام که از توئیتام به نظر میرسه ولی حالا باز خود دانی!,سه تا رِ,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
404arsynotfound,Arsy,Living proof that sleep is optional.,8.0,72.0,35.0,False,June 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Living proof that sleep is optional.,Arsy,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
424xh,Muchacho,“in-betweenness is a fundamental condition of our times.” ==BUILDING mode==,154.0,2398.0,,False,January 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,“in-betweenness is a fundamental condition of our times.” ==BUILDING mode==,Muchacho,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
2ndravanparish,روانپریش دوم درب اول,منو آنفالو نکن عنتر ب.آ بزن / CG Artist & Web Designer,,35.0,5587.0,False,December 2018,"Dubai, UAE",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,منو آنفالو نکن عنتر ب.آ بزن / CG Artist & Web Designer,روانپریش دوم درب اول,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
42potatoesss,Ishita Dasgupta,,1.0,77.0,0.0,False,October 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ishita Dasgupta,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
433_uae2,عميد الرياضة,منصة رياضية إماراتية  تغطي الحدث محلياً وعالمياً,,178.0,5587.0,False,November 2020,الامارات العربية المتحدة,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,منصة رياضية إماراتية  تغطي الحدث محلياً وعالمياً,عميد الرياضة,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
4bteen,Abtinn,,17.0,391.0,12.0,False,May 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Abtinn,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
4freedom4iran,Freedom,,18.0,214.0,682.0,False,September 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Freedom,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
4genderjustice,Women's Initiatives for Gender Justice,"We advance gender justice and advocate for accountability. Women’s Initiatives for Gender Justice has left X. Stay updated via LinkedIn, Bluesky + Mailing List.",5771.0,1516.0,8749.0,False,December 2011,"The Hague, The Netherlands",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"We advance gender justice and advocate for accountability. Women’s Initiatives for Gender Justice has left X. Stay updated via LinkedIn, Bluesky + Mailing List.",Women's Initiatives for Gender Justice,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
4ltgmlpx61671,Payton Brown 4LtgmLpx,,3.0,195.0,0.0,False,November 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Payton Brown 4LtgmLpx,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
4m2dvxbg7uptwhz,.,,104.0,383.0,8.0,False,September 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,.,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
35anj,نشريه سه‌پنج,از روی نعش جمهوری اسلامی رد می‌شویم #همکاری_ملی,,0.0,2021.0,False,February 2013,35anj,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,از روی نعش جمهوری اسلامی رد می‌شویم #همکاری_ملی,نشريه سه‌پنج,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
1bl51ilj2fkkt,MavisColclough,,33.0,1289.0,0.0,False,July 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,MavisColclough,2,0.31756814514992704,0.32664318611015586,0.3557886687399172,0.3557886687399172,0.6442113312600828
